,variable,description
4,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
3,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
2,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
94,NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
98,NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
105,NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
108,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
45,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
131,NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
113,SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)"
49,SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)"
48,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population)
115,SH.H2O.SMDW.RU.ZS,"People using safely managed drinking water services, rural (% of rural population)"
53,SH.H2O.SMDW.UR.ZS,"People using safely managed drinking water services, urban (% of urban population)"
52,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
106,SH.STA.AIRP.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
50,SH.STA.BASS.RU.ZS,"People using at least basic sanitation services, rural (% of rural population)"
51,SH.STA.BASS.UR.ZS,"People using at least basic sanitation services, urban (% of urban population)"
114,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population)
55,SH.STA.HYGN.RU.ZS,"People with basic handwashing facilities including soap and water, rural (% of rural population)"
119,SH.STA.HYGN.UR.ZS,"People with basic handwashing facilities including soap and water, urban (% of urban population)"
118,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population)
47,SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)"
112,SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)"
111,SH.STA.ODFC.ZS,People practicing open defecation (% of population)
39,SH.STA.POIS.P5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
107,SH.STA.POIS.P5.FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
40,SH.STA.POIS.P5.MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
54,SH.STA.SMSS.RU.ZS,"People using safely managed sanitation services, rural (% of rural population)"
117,SH.STA.SMSS.UR.ZS,"People using safely managed sanitation services, urban (% of urban population)"
116,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population)
41,SH.STA.WASH.P5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
